1girl,1个女孩
full moon wo sagashite,满月wo sagashite
futatsuki eru,二月
german army,德军
grimm (rwby),格林（rwby）
hashiko nowoto,今本哈希子
hatozuki tsumiki,鸠月月木
hisuian typhlosion,翡翠类型学
hiyajou maho,希亚茹马霍
hyouta (yoneya),hyouta (yoneya)
ico (green bullet),ico（绿色子弹）
inou-battle wa nichijou-kei no naka de,井之战 wa nichijou-kei no naka de
irma,厄玛
january,一月
jet engine,喷气发动机
jupiter symbol,木星符号
kamen rider kabuto,骑士kabuto来了
kamen rider ryuki,假面骑士ryuki
kamiki uutarou,神木宇太郎
kanda yuu,神田悠
kanora,卡诺拉
karan,卡兰
kawashiro nitori (cosplay),河城 nitori (cosplay)
kesuida,可穗达
kishida-shiki,岸田式
knight (hollow knight),骑士（空心骑士）
kokonoka,可可诺卡
kotori photobomb,小鸟照片弹
kuroya shinobu,黑屋忍
kurusu shou,久留寿
lamia loveless,拉米亚无爱
leopard,豹
ling yao,灵瑶
lock cole,锁科尔
lycanroc (midday),lycanroc（中午）
lysander z,莱山德z
machine-doll wa kizutsukanai,机械人偶 wa kizutsukanai
majestic prince,雄伟的王子
mikel (4hands),米克尔（4 手）
minami rena,南丽奈
mitarai shouta,御手洗正太
mitsuboshi colors,三菱颜色
motohara moka,元原真香
neko sensha,猫仙社
nut (food),坚果（食品）
ochikazuki ni naritai miyazen-san,ochikazuki 是 naritai miyazen-san
oiun,乌云
okbnkn,okbnkn
on stool,在凳子上
oosawara sadao,大泽原定道
opposing sides,对立面
orange (touhou),橙色（东方）
otosaka yuu,音坂悠
ouka (ra-raradan),ouka (ra-raradan)
ouse (otussger),乌兹（otussger）
papa (shimeguru),爸爸（shimeguru）
pectoral squeeze,胸部挤压
pedophile,恋童癖
phoenix wright: ace attorney - trials and tribulations,凤凰赖特：王牌律师 - 考验与磨难
pilokey,万能钥匙
pinki (shounenkakuseiya),Pinki (少年阁生屋)
poi (last origin),poi（最后一个来源）
popotan,波波坦
prinz eugen (cordial cornflower) (azur lane),欧根亲王（亲切的矢车菊）（碧蓝航线）
psd (psdgai),psd (psdgai)
raitho,赖托
rasis,葡萄干
rasusurasu,拉苏拉苏
ray (yakusoku no neverland),雷（Yakusoku no Neverland）
rei (tdn ng),rei (tdn ng)
sabujiroko,三代郎子
sagging testicles,睾丸下垂
saotome ako,早乙女赤子
sasaki haise,佐佐木黑濑
sawa (snack yoshie),萨瓦（小吃 yoshie）
shameimaru aya (cosplay),杀命丸绫 (Cosplay)
shintani tsushiya,新谷津屋
shirane koitsu,白根小津
sora no iro mizu no iro,空之色 水之色
soso (chlgksk110),搜搜 (chlgksk110)
standing double penetration,站立双渗透
strider (video game),跨步者（电子游戏）
super saiyan 3,超级赛亚人3
tokimeki memorial 4,时事纪念馆 4
tonchan,通昌
torn vest,撕裂的背心
touka gettan,touka gettan
unimon e,统一
xelloss,xelloss
yachima tana,八千真奈
yama raja (elsword),yama raja (elsword)
yostar,优星
yu-gi-oh! the dark side of dimensions,游戏王哦！维度的阴暗面
yue (shemika98425261),月 (shemika98425261)
yuuichi (reductionblack),yuuichi（还原黑）
zigzagdb,zigzagdb
agata (agatha),阿加塔 (agatha)
alecto 0,alecto 0
anbe masahiro,安部政宏
animal between breasts,乳房之间的动物
aqua socks,水袜
asakura yume,朝仓梦
ateoyh,阿特奥伊
azhdaha (genshin impact),azhdaha（原神影响）
azomo,偶氮
bababababan,巴巴巴巴班
barasui,原水
bidoof,双头
bikini bridge,比基尼桥
bokoboko (pandagapanda1),bokoboko (pandagapanda1)
borrowed hairstyle,借来的发型
bou,布
bugsy (pokemon),bugsy（宠物小精灵）
carmilla (swimsuit rider) (fate),卡米拉（泳装骑士）（命运）
chaos (warhammer),混乱（战锤）
chutohampa,楚托汉帕
croupier,荷官
cuphead (game),茶杯头（游戏）
duca degli abruzzi (azur lane),duca degli abruzzi（碧蓝航线）
elsa granhilte,艾尔莎格兰希尔特
emerald sustrai,翡翠南部
expectations/reality,期望/现实
extra digits,多余的数字
fire hydrant,消防栓
floppy disk,软盘
frog (chrono trigger),青蛙（计时触发器）
ginzake (mizuumi),银酒 (mizuumi)
gravity daze 2,重力发呆2
grenville (azur lane),格伦维尔（碧蓝航线）
grune,咕噜咕噜
hajimari no kiseki,hajimari no kiseki
hanasaki komugi,花崎小麦
hand over heart,交出心
hazekura mikitaka,叶仓御喜孝
high-low skirt,高低裙
hitomin (ksws7544),人 (ksws7544)
homeko,家子
hood (warship girls r),引擎盖（军舰少女 r）
hoshino ouka,星野大香
i-26 (azur lane),i-26（碧蓝航线）
inre kemomimi,因雷克莫米米
iogi (iogi k),iogi (iogi k)
itsuka shidou,五香士道
jasdavi,贾斯达维
jimsdaydreams,吉姆斯白日梦
kaeruyama yoshitaka,晴山吉孝
kagamine rin (roshin yuukai/hard rkmix),镜音凛（roshin yuukai/hard rkmix）
kamen rider hibiki,来了骑手响
kamen rider vice,假面骑士副
kaminari doon,雷门
kanbara satomi,神原里见
kasa,笠
knee blush,膝盖脸红
knight's & magic,骑士与魔法
kobinbin,科宾宾
kobuushi,小武士
komasawa (fmn-ppp),驹泽 (fmn-ppp)
kongou (kancolle) (cosplay),kongou (kancolle) (角色扮演)
kumatora tatsumi,熊虎辰巳
loki (fire emblem),洛基（火焰纹章）
mage (disgaea),法师 (disgaea)
malcorond,马尔科龙
manatsuki manata,真月真那
manio,你好吗？
masamune (ff7),政宗 (ff7)
matsumoto noriyuki,松本纪之
megami tensei,女神时事
meguru (cookie),meguru（饼干）
mg5 (girls' frontline),mg5（少女前线）
minami juujisei,南重生
minamoto no raikou (swimsuit lancer) (second ascension) (fate),Minamoto no raikou（泳装枪手）（第二次升天）（命运）
mochacot,摩卡科特
mochi trail,麻糬小道
moeanime,动漫
mokorei,毛礼
mori nagayoshi (fate),森长吉（命运）
nanashiki fuuka,七敷风香
nasaniliu,那三柳
no smoking,禁止抽烟
nogi yasuhito,乃木安人
okuragon,奥拉贡
onsokumaru,温索丸
oza watto,奥扎瓦托
painpa,帕尼帕
pink gemstone,粉色宝石
polka dot necktie,波点领带
poncho s,雨披
power rangers,电力别动队
print umbrella,印花雨伞
projekt red (light breeze) (arknights),projekt red（微风）（arknights）
quuni,曲尼
revolverwing,左轮机翼
roido (taniko-t-1218),roido (taniko-t-1218)
run p (aveton),运行 p (aveton)
saboten teishoku,破坏定食
sakakidani,坂木谷
sakurai unan,樱井尤南
samidare (hoshi),samidare（星）
saya (twrlare),saya (twlare)
sebastian michaelis,塞巴斯蒂安·迈克尔斯
sega dreamcast,混合梦境
serval,服务
shin no tenpii,新天地
shirosaba,白羽
shuppet,木偶
skadi the corrupting heart (sublimation) (arknights),腐化之心斯卡迪（升华）（方舟之夜）
sob (submar1089),呜咽（submar1089）
stan marsh,斯坦马什
star cutout,星形镂空
star nun (diva),明星修女（女主角）
strike witches 1940,罢工女巫 1940
striped bike shorts,条纹自行车短裤
suki! yuki! maji magic (vocaloid),suki! yuki! maji 魔法 (vocaloid)
suzuya (azur lane),铃屋（碧蓝航线）
tanigawa yuzu,谷川柚子
tenkuu no craft fleet,天国无舰船队
tibbers,提伯斯
tina (closers),蒂娜（关闭者）
totoharu (kujirai minato),totoharu (kujirai minato)
tougarashi hideyu,头岚秀友
touhou hisoutensoku,东方玄天速
uchiha obito,宇智波带土
ump45 (agent lop rabbit) (girls' frontline),ump45（特工垂耳兔）（少女前线）
uzuki aki,铃木秋
wancho,万乔
wanko (takohati8),wanko (takohati8)
warabino matsuri,蕨野祭
white album,白色专辑
yoshida hajime,吉田始
yuki18r,yuki18r
yuu (arcadia),悠（阿卡迪亚）
yuuri (saikin yatotta maid ga ayashii),yuuri (saikin yatotta 女仆 ga ayashii)
258n,258n
acea4,acea4
acog,acog
agent 4 (splatoon),特工 4（喷射）
alzano school uniform,阿尔扎诺校服
amagaeru (hylathewet),amagaeru (hylathewet)
amog,阿莫格
arsh (thestarwish),阿什（星愿）
asteion,阿斯提翁
athrun1120,athrun1120
avicebron (fate),avicebron（命运）
azul ashengrotto,阿祖尔阿申格罗托
bakuretsu tenshi,爆裂天师
belly poke,肚皮戳
castlevania: portrait of ruin,恶魔城：废墟肖像
caveman,穴居人
cham-p,冠军
construction,建造
daitoshokan no hitsujikai,大东书馆的幸福会
danaka,田中
deca purio,德卡普里奥
deidara (naruto),迪达拉（火影忍者）
donquixote doflamingo,堂吉诃德·多弗朗明哥
doukyo's,道京的
dromarch (xenoblade),dromarch（异形之刃）
fan la norne,fan la norne
fenrir (fenlil0316),芬里尔 (fenlil0316)
final fantasy crystal chronicles,最终幻想水晶编年史
fly agaric,飞木耳
fumafu,富马府
fuuka (blue archive),fuuka（蓝色档案）
garana,加拉纳
geodude,地理大
gradient gloves,渐变手套
gymnastics ribbon,体操丝带
haiiro teien,海罗亭
hinata (user rjkt4745),hinata（用户 rjkt4745）
hirota (masasiv3),广田 (masasiv3)
hisuian growlithe,翡翠园
hodaka natsumi,穗高夏美
hookah,水烟
hoshino yuumi,星野悠美
hougu souji,后谷搜集
ichiroku (sakumogu-029),一六 (sakumogu-029)
inverted colors,反转颜色
jin (xenoblade),jin（异形之刃）
jun (princess connect!),君（公主连接！）
kageyama torako,影山虎子
kaleido ruby,万花筒红宝石
katori (quietude),katori（安静）
katsuragi yako,葛城夜子
kingdom key,王国钥匙
kingdra,金德拉
kinugasa yuuichi,衣笠悠一
kisasage kouta,喜萨吉库塔
kokoro (hakui koyori),心（hakui koyori）
kokoro connect,心连接
komekko,小梅科
komi shuuko,小美秀子
komiyama kotomi,小宫山琴美
kyou (ningiou),京（宁欧）
leria v,莱里亚五世
m1 garand (girls' frontline),m1 garand（女子前线）
malino (dream maker),马利诺（造梦者）
mareanie,马雷妮
melusine (ibuki notsu),melusine (ibuki notsu)
mimasi osuwari,米马西奥苏瓦里
minagi mikoto,南木美琴
mitama mudimudi,米达摩泥泥地
mole on crotch,胯部有痣
muhi11234,muhi11234
munyuu,文尤
murata,村田
mushihime-sama,虫姬大人
my little pony equestria girls,我的小马驹小马国女孩
naho (pi988y),也（pi988y）
navel insertion,肚脐插入
neko danshaku,猫段尺
nemunemu semi,nemunemu半
no anus,没有肛门
no hair ornament,没有发饰
noble academy school uniform,贵族学院校服
ore no kanojo to osananajimi ga shuraba sugiru,ore no kanojo to osanajimi ga shuraba sugiru
osamada meika,长田名花
pelipper,削皮器
pomeranian (dog),博美犬（狗）
pouncing,猛扑
primary stage,初级阶段
project bunny,项目兔子
ribbon baton,丝带指挥棒
rimukoro,利望郎
rixia mao,日下毛
runway,跑道
rurudo lion,rurudou狮子
sanwari (aruji yume),sanwari (aruji yume)
saruno (eyesonly712),下一个 (eyesonly712)
sauvignon,长相思
shamisen (suzumiya haruhi),三味线（凉宫春日）
sheriff badge,警长徽章
shia flatpaddy,什叶派
shirogane (cufsser),白银 (cufsser)
shiroi karasu,白井乌
shoulder massage,肩部按摩
sisters ~natsu no saigo no hi~,姐妹们~natsu no saigo no hi~
smeargle,涂抹
snake tattoo,蛇纹身
sphinx,狮身人面像
stage curtains,舞台窗帘
star guardian soraka,星之守护者索拉卡
taiga (ryukyu-6102-8),大河 (ryukyu-6102-8)
takamura,高村
tanaka hime,田中姬
tanishi (tani4),谷西 (tani4)
triple wielding,三重挥舞
tun,还
two-sided headwear,双面头饰
ugeppa,乌杰巴
uon taraku,对不起
usaka ray,乌萨卡雷
vistamp,邮票
vivid bad squad (project sekai),生动的坏小队（项目sekai）
waisshu (sougyokyuu),waisshu (sougyokyuu)
wedge (tyrl stride),楔形（泰尔步幅）
wewe,我们
whipping,鞭打
yandr4hope,yandr4hope
yazuki gennojou,矢月幻王
yu ni t,你不是
yuki onna (nurarihyon no mago),yuki onna (nurarihyon no mago)
akisa (12023648),秋沙 (12023648)
aoi suzu,葵铃
aona (anagasaki),青菜（长崎）
aori sora,苍织空
aosaki yukina,青崎雪菜
apron tug,围裙拖船
archer (ragnarok online),弓箭手（仙境传说在线）
artem wing (tears of themis),Artem Wing（忒弥斯之泪）
azumaya hironaru,吾妻弘鸣
bakusai,爆斋
brionne,布里奥内
chihayafuru,千早风
cyawa,西瓦
cyberbots,网络机器人
date masamune (sengoku basara),伊达政宗（战国basara）
dom,dom
dusty (gravity daze),尘土飞扬（重力发呆）
ebira,森林
entrance,入口
fenrir (shingeki no bahamut),fenrir (shingeki no bahamut)
finn the human,芬兰人
fishing net,捕鱼网
flying boat,飞艇
genmu senki leda,玄武战记
gesugesu ahoaho,格格苏啊啊啊啊
ghost hair ornament,鬼发饰
gonoike biwa,五池琵琶
goredolf musik,戈雷多夫音乐
goth risuto,哥特烩饭
gotou kenji,后藤健二
granblue fantasy versus,碧蓝幻想与
gridman (ssss),网格人（ssss）
growth,生长
gudon (iukhzl),古东 (iukhzl)
gunpla boy (ishiyumi),高达模型少年（石由美）
hariyama (toubou tengoku),hariyama (toubou tengoku)
harukatron,晴天
headwear writing,头饰写作
hinata hajime (awakened),雏田始（觉醒）
hitomi o,瞳尾
honchkrow,汉克罗
hongbao,红宝
hushabye,胡沙拜
ibara azuki,伊原醒了
infi,信息
isshiki momo,一色桃
jiyuuyuu,极优优
kagura yuuki,神乐优树
kamiya zuzu,神谷祖祖
karin (naruto),卡琳（火影忍者）
karma (nakiri ayame),业力（nakiri ayame）
kasamoto eri,笠本绘里
kibadori rue,木场通
kikuri (touhou),菊里（东方）
kimagure blue,kimagure 蓝色
koin (foxmark),koin（福克斯马克）
kokomi (aniesuakkaman),可可米 (aniesuakkaman)
komachi pochi,小町波奇
kotoura haruka,琴浦遥
kunisaki yukito,国崎由纪人
kuroe shizuku (cosplay),黑江雫 (cosplay)
leogust,上级
lifeguard chair,救生员椅
lobelia (saclia),半边莲（saclia）
m4 sopmod ii jr,M4 SOPMOD II Jr
marikawa shizuka,丸川静香
marivel armitage,奇妙的阿米蒂奇
martha (swimsuit ruler) (second ascension) (fate),玛莎（泳装统治者）（第二次提升）（命运）
meipu hm,美普嗯
menstruation,经期
mgk968,MGK968
mister (black and white),先生（黑白）
miwasiba,三叶草
miyasaka naco,宫坂naco
mokyutan,墨丘丹
molyb,钼
namaru (summer dandy),namaru（夏日花花公子）
nandaba naota,难陀巴直太
nanu (pokemon),纳努（口袋妖怪）
ng (kimjae737),ng (kimjae737)
nishimiya shouko,西宫祥子
nishizawa ayumu,西泽步武
no hands,没有手
nomura tetsuya,野村哲也
november,十一月
orca girl,逆戟鲸女孩
osora (judithandlilith),奥索拉 (judithandlilith)
perrault (last origin),perrault (最后的起源)
peterhl,彼得尔
pidgeotto,皮杰托
pointing gun,指点枪
polka dot scarf,波点围巾
pondel,庞德尔
progression,进展
puru (ex-150),普鲁（前150）
rebecca chambers,丽贝卡室
recycle bin,回收站
reed (arknights),芦苇（方舟）
romana,罗马纳
scopedog,范围狗
sebas murasaki,村崎世巴斯
senya (dq11),森雅 (dq11)
seofon (granblue fantasy),seofon（碧蓝幻想）
shinkuukan (tetsuo3),新空馆 (tetsuo3)
small lady serenity,小女人的宁静
sohn woohyoung,孙佑荣
stingray,黄貂鱼
stopwatch around neck,脖子上的秒表
suguri (character),苏古里（人物）
suiheisen made nan mile?,水黑森做南哩？
sutora binsuke,须罗彬助
takanashi yomi,高梨读美
tasmanian devil (kemono friends),塔斯马尼亚恶魔（kemono 朋友）
tawashi1623,塔瓦西1623
tepen (tptptpn),tepen (tptptpn)
tohsaka rin (cosplay),远坂凛 (cosplay)
tsuruki shizuka,鹤树静香
type 95 (summer cicada) (girls' frontline),95型（夏蝉）（少女前线）
uganda (ugandam 00),乌干达（乌干达 00）
utane uta,乌塔尼乌塔
wolflong,狼龙
wulazula,乌拉祖拉
yagiri namie,矢切奈美惠
yo-class submarine,哟级潜艇
zhainan s-jun,zhainan s-jun
abarai renji,阿原井莲次
accessories,配件
alice (megami tensei),爱丽丝 (megami 紧张)
altronage,替代
ame 816,我是 816
andava,安达瓦
aozora nan,青空南
armbinder,袖子
asahigaoka school uniform,旭丘校服
barioth (armor),barioth (盔甲)
bousouzoku,手足族
brown cat,棕色猫
capsule corp,胶囊公司
cocked eyebrow,眉毛翘起
crossed fingers,交叉手指
dorayaki,铜锣烧
double grinding,双磨
enarane,烯丙胺
ever 17,曾经 17
finnish flag,芬兰国旗
fudou yukimitsu,不动声光
garage,车库
gauze,纱布
greed (fma),贪婪（fma）
gyoju (only arme nim),gyoju（仅 arme nim）
hacka doll 1,哈卡娃娃 1
hazakura satsuki,叶樱小月
heart-shaped mouth,心形嘴
hentaki,变态
hero (dq4),英雄（dq4）
hiroshi (hunter-of-kct),hiroshi（kct 猎人）
houjou sophie,后城苏菲
ian chase,伊恩追逐
ikezaki misa,池崎美沙
in orbit,在轨
io (princess connect!),io（公主连接！）
iseki (kuroshura no tabiji),iseki (kuroshura no tabiji)
kagetsu tooya,花月大也
kakuno,角野
kaneki ichika,金木一香
kataru (ubw-emiya),kataru (ubw-emiya)
kazami chiu,风见秋
keigi,敬木
kendou itsuka,五香剑道
komikado sachi,小御门幸
kuga zankurou,久我三九郎
kuzuvine,葛藤
kylin,麒麟
l85,l85
leather armor,皮甲
majamari,马贾马里
majin gappa,魔神加帕
masaki tenchi,天地正树
matsu (kancolle),马祖 (kancolle)
matsubayashi souta,松林宗太
maxa',最大'
mesprit,精神
michiru (amphibian),michiru（两栖动物）
milcho,米尔乔
minasenagi,南瀬
moonywitcher,月巫师
naruse mamoru,成濑守
natsume takashi,夏目隆
neme,名字
noeru,诺埃鲁
northern ocean princess (cosplay),北洋公主（cosplay）
omc,omc
onedoo,奥尼杜
phonecard,电话卡
pile,桩
polka dot innertube,圆点内胎
ponkan 8,庞坎 8
purple rope,紫绳
rangycrow,乌鸦
raoh (hokuto no ken),raoh（北斗之拳）
roll.exe (mega man),roll.exe（超人）
ryuu (breath of fire v),ryuu（火焰之息v）
saeki nao,佐伯直
scathach skadi (third ascension) (fate),scathach skadi（第三次提升）（命运）
scene (arknights),场景（方舟）
see-through panties,透视内裤
seikai no senki,生海战记
sekiutsu maria tarou,玛丽亚太郎
sen no kiseki ii,千之轨迹 ii
septet (zrca janne),七重奏（zrca janne）
shiny and normal,闪亮而正常
shounen jump,少年跳跃
shousan (hno3syo),寿山 (hno3syo)
sivir,西维尔
skylader,天梯
soviet army,苏联军队
spoon straw,勺子吸管
sumia (fire emblem),sumia（火徽）
super sailor jupiter,超级水手木星
suzuhara touji,铃原藤治
suzuki hina,铃木雏
team galactic uniform,银河队制服
tenshinranman,天心乱人
the king of fighters all-stars,拳皇全明星
the silmarillion,精灵宝钻
thomas edison (fate),托马斯爱迪生（命运）
thumb to mouth,拇指到嘴
togutogu,土古土古
touching ears,摸耳朵
treadmill,跑步机
ursaring,求救
vayne (league of legends),薇恩（英雄联盟）
volkswagen,大众汽车
wadanohara,乡下人
willow,柳
yasohachi ryou,八八亮
yasuri shichika,安理七香
yuuki kei,有树圭
abukobato,阿布科巴托
akiba monaka,秋叶真中
akitsu maru kai (kancolle),秋津丸改（kancolle）
alluka zoldyck,阿卢卡·佐尔代克
azen (mntimcczgrtn),azen (mntimcczgrtn)
azumi akitake,安住秋竹
azurill,天蓝色
binato lulu,比纳托露露
black eyeshadow,黑色眼影
black sister,黑妹
blacksmith,铁匠
bone necklace,骨项链
breast pump,吸奶器
broken plate,破板
brown-tinted eyewear,棕色眼镜
dior-zi,迪奥兹
dizzy (feeling),头晕（感觉）
dlanon,德拉农
double cheek kiss,双颊吻
driftkingtw,漂流王
dustpan,簸箕
ebihara naho,荏原也
el (girls und panzer),（少女与装甲）
exploration,勘探
f6,f6
feather-trimmed jacket,羽毛边饰夹克
fei lio mao,飞辽猫
furukawa herzer,古河赫泽
gibson,吉布森
grape-kun,葡萄君
gretel (granblue fantasy),gretel（碧蓝幻想）
gyaheung,嘉兴
hamster ears,仓鼠耳朵
han-0v0,han-0v0
hansel (granblue fantasy),汉塞尔（碧蓝幻想）
hedgehog ears,刺猬耳朵
heiwa (murasiho),平和（村社）
herozu (xxhrd),英雄（xxhrd）
hirokawa kouichirou,广川幸一郎
holding skewer,拿着串
hopping,跃迁
hydrant (kasozama),消火栓（笠间）
i-chu,伊楚
ichinose hajime,一之濑始
implied incest,隐含的乱伦
inubouzaki fuu,犬房崎风
irene (kanniiepan),艾琳（kanniiepan）
jesus,耶稣
kari (kakko k),卡里 (kakko k)
katsushika pachi,葛饰八
kaya8,卡亚8
kazumi yoshiyuki,吉之和美
ken (haresaku),健（haresaku）
kidachi,木地
kinoshita sakura,木下樱
kiriu,基留
kitsune-neko,狐狸猫
koya (koya x 00),koya (koya x 00)
kure~pu,吴~pu
kuroi suna,黑井须菜
kuromu (underporno),kuromu (underporno)
lilaccu,丁香
lrk,尔克
lunar,太阴
luozhu (the legend of luoxiaohei),落珠（落小黑的传说）
m-rs,太太
m1918 (girls' frontline),m1918（少女前线）
maeha,前羽
marx (kirby),马克思（柯比）
mathew (srmmk mce),马修（srmmk mce）
miho (mi),美穗 (mi)
mikisai,三木斋
mimelond,蜜瓜
miyahara takuya,宫原拓哉
miyuki rei,美雪怜
mm!,毫米！
momiji oroshi,红叶oroshi
momoi azuki,桃井小豆
naginami,他说
nakamura tetsuya,中村哲也
nipple biting,咬乳头
noki (affabile),noki（友善的）
norazura,野樱
oda nanami,订购七海
oden (th-inaba),关东煮（th-inaba）
ookami ryousuke,大神凉介
otome function,乙女功能
ouga saki,欧加咲
over the nose gag,堵住鼻子
oyasu (kinakoyamamori),oyasu (kinakoyamamori)
pepper shaker,胡椒瓶
plastic memories,塑料记忆
plate stack,板堆
pokemon battle,口袋妖怪大战
princess leia organa solo,莱娅公主独奏
pringles can,品客薯片可以
production kawaii,制作卡哇伊
reiga mieru,雷加·米鲁
renata alekseevna tsvetaeva,雷娜塔·阿列克谢夫娜·茨维塔耶娃
repi,雷比
ribbon-trimmed bow,饰带蝴蝶结
rin (royal),凛（皇家）
robot girls z,机器人少女z
ryuumonbuchi touka,龙纹渊 touka
sa-dui,萨堆
sadakage,定影
satsumi,萨美
sawatari riko,泽渡理子
senou natsuru,仙王夏露
serra (fire emblem),塞拉（火徽）
sextuplet (osomatsu-kun),六胞胎（小松君）
shantae and the pirate's curse,shantae 和海盗的诅咒
shin koihime musou,新恋姬无双
shinsengumi (gintama),新选组（银魂）
shirase (shirose),白濑
sig sauer 556,西格绍尔 556
sitting on tree stump,坐在树桩上
slave tattoo,奴隶纹身
sodapop (iemaki),苏打水（iemaki）
somehira katsu,染平胜
splattershot jr (splatoon),splattershot jr (splatoon)
sugo6969,sugo6969
suikakitsu shiro,翠鸟四郎
sunohara mei,须原美
super robot wars og saga mugen no frontier exceed,超级机器人大战 og saga mugen no frontier示意图
supreme (brand),至尊（品牌）
susuki grass,铃草
suzuki ayane,铃木绫音
tales of rebirth,重生的故事
talonflame,魔爪火焰
tatsunokosso,龙之谷
thomas hewitt,托马斯·休伊特
tooyama rin,太山凛
ume-sensei,梅老师
vikala (blooming summer wallflower) (granblue fantasy),vikala（盛开的夏日壁花）（碧蓝幻想）
yatomi,夜见
yuigahama yui's mother,由比滨由衣的妈妈
zaku ii s char custom,zaku ii s char 风俗
zinogre (armor),齐诺格雷（盔甲）
a.b.a,阿坝
after fingering,指法后
akai shuuichi,赤井秀一
amakusa (hidorozoa),水生动物
amemiya nazuna,雨宫名纲
american football (object),美式足球（对象）
anchorage (azur lane),锚地（碧蓝航线）
anna nishikinomiya,西宫安娜
anpan,安盘
aomoro,青森
asahina mitsuru,朝比奈充
ass press,是新闻
ayra (fire emblem),艾拉（火徽）
bad reflection,反射不好
berserker armor,狂暴盔甲
boryeon (last origin),boryeon (最后的起源)
brooke (mathias leth),布鲁克（马蒂亚斯·莱斯）
chariko,chariko
chou-10cm-hou-chan (suzutsuki's),chou-10cm-hou-chan（铃木的）
cinderella series,灰姑娘系列
common vampire bat (kemono friends),普通吸血蝙蝠（kemono 朋友）
cornet espoir,短号espoir
dancing stars on me!,在我身上跳舞的星星！
dragon quest i,勇者斗恶龙我
dugtrio,杜格特里奥
elleciel.eud,elleciel.eud
firewood,柴
frillish,浮夸
gimmy,吉米
gmgt (gggggg3),gmgt (gggggg3)
golgi hon,高尔基体
grey camisole,灰色吊带背心
gurasion (gurasion),古拉西翁（古拉西翁）
h'aanit (octopath traveler),h'aanit（八方旅人）
hakkasame,客家饭
hanako151,花子151
hand under shorts,手下短裤
hashiro,八郎
here's johnny! (meme),约翰尼来了！ （模因）
herio,英雄
hero (omori),英雄
high-cut armor,高切装甲
hinoe (right-hnxx03),hinoe (right-hnxx03)
hiroyama hiroshi,广山弘
hitoyo (baffu),hitoyo (baffu)
holding flashlight,拿着手电筒
hoshihuri,星呼里
hoshino ichika (project sekai),hoshino ichika (project sekai)
ikeda chizuru,池田千鹤
inaba haneru (animare),inaba haneru (animare)
irisu shoukougun!,irisu shoukougun！
isaac foster,艾萨克·福斯特
isaki tanaka,对不起
isna (footprintsofisna),isna (footprintsofisna)
jamadhar,贾马达尔
jiu (sdesd3205),玖 (sdesd3205)
junko (blue archive),junko（蓝色档案）
katakana,片假名
kauto,考托
kazekawa nagi,风川凪
king,王
king cobra (kemono friends),眼镜王蛇（kemono 朋友）
kizami nori to yamaimo,kizami nori to yamaimo
kobeya (tonari no kobeya),神户屋（tonari no kobeya）
kolin,科林
komomo (ptkrx),komomo (ptkrx)
korok,科罗克
kurofood,黑食品
kuzumiya yuyu,久宫悠悠
kyubey (cosplay),kyubey (角色扮演)
last exile: gin'yoku no fam,最后流放：gin'yoku no fam
lucidsky,清醒的天空
masaharu,正治
matsubara yuuna,松原由奈
matsuki (mikipingpong),matsuki (mikiping pong)
mizusaki tsubame,水崎燕
mukunokino isshiki,向野一色
mullmull02,mullmull02
murasaki (senran kagura),村崎（闪乱神乐）
my700,我的700
nanaume (shichimi tougarashi),七目 (shichimi tougarashi)
nasii,纳西
nasu no yoichi,那须余一
neko ni chikyuu,neko ni chikyuu
neko-san (dim.dream),neko-san (dim.dream)
nekomu,猫
netoge no yome wa onna no ko janai to omotta?,netoge no yome wa onna no ko janai to omotta?
nishizono chigusa,西园千草
noixen,诺克森
object in swimsuit,泳装物体
obstagoon,障碍物
offbeat,另类
orange hair ornament,橙色发饰
papino,帕皮诺
phantom (arknights),幻影（方舟之夜）
pig girl,猪女孩
platform,平台
poyoyo (nakiri ayame),poyoyo (nakiri ayame)
quasarcake,类星体蛋糕
red corset,红色紧身胸衣
red: pride of eden,红色：伊甸园的骄傲
saaya (suisei no gargantia),saaya（套房没有 gargantia）
salmonid,鲑鱼
sasanomesi,萨萨诺梅西
seizon honnou valkyria (idolmaster),seizon honnou valkyria（偶像大师）
sen (sen0910),森 (sen0910)
sengo muramasa (touken ranbu),战吾村正（刀剑乱舞）
sewer grate,下水道篦子
shadow puppet,皮影戏
shovelwell,铲井
simon belmont,西蒙贝尔蒙特
sin (sin52y),罪（sin52y）
sin kiske,辛基斯克
sora (sky s04),空（天空s04）
spartan (halo),斯巴达（光环）
spykeee,间谍
squeezing testicles,挤压睾丸
steamroller,压路机
suesan,苏珊
suppository,栓剂
taihou (muse) (azur lane),太后（缪斯）（碧蓝航线）
taishou yakyuu musume,太守药休娘
takahashi mugi,高桥麦
team yell,团队呐喊
toy block,玩具积木
tsube aika,津部爱香
tuxedo kamen,燕尾服假面
unclasped,解开
ushio kai ni (kancolle),ushio kai ni (kancolle)
vaseraga,瓦塞拉加
vash the stampede,扑灭踩踏事件
wagashi928,和果子928
watakarashi,渡晴
white wolf,白狼
wrist extended,手腕伸展
ymir (queen's blade),伊米尔（女王之刃）
yodare (3yami8),约达雷 (3yami8)
yomoyama yotabanashi,yomoyama 四田梨
yoshiwo,吉沃
yoyokkun,优优坤
ysk!,哎呀！
yuki to hana,由纪到花
